Theta	Demes	TotalKappa	migration	mutation	frequency	growth	s	r	z	RatioCapacities	RatioMigration	replicates	Rescue	Error
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.90000	0.10000	2000.00000	0.34500	0.02732
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.90000	0.50000	2000.00000	0.32800	0.02698
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.90000	0.90000	2000.00000	0.31100	0.02660
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.10000	0.10000	2000.00000	0.18500	0.02231
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.10000	0.50000	2000.00000	0.19000	0.02254
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.10000	0.90000	2000.00000	0.17900	0.02203
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.50000	0.10000	2000.00000	0.14950	0.02049
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.50000	0.50000	2000.00000	0.14600	0.02029
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.50000	0.90000	2000.00000	0.15050	0.02055
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.90000	0.10000	2000.00000	0.15550	0.02082
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.90000	0.50000	2000.00000	0.17050	0.02161
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.90000	0.90000	2000.00000	0.15700	0.02091
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.10000	0.10000	2000.00000	0.10550	0.01765
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.10000	0.50000	2000.00000	0.10500	0.01762
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.10000	0.90000	2000.00000	0.10350	0.01751
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.50000	0.10000	2000.00000	0.07950	0.01555
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.07800	0.01541
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.50000	0.90000	2000.00000	0.07450	0.01509
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.90000	0.10000	2000.00000	0.08150	0.01572
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.90000	0.50000	2000.00000	0.08400	0.01594
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00010	1.01000	0.50000	0.90000	0.02000	0.90000	0.90000	2000.00000	0.08300	0.01585
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.10000	0.10000	2000.00000	0.14200	0.02006
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.10000	0.50000	2000.00000	0.14500	0.02023
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.10000	0.90000	2000.00000	0.14100	0.02000
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.50000	0.10000	2000.00000	0.13950	0.01991
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.50000	0.50000	2000.00000	0.14200	0.02006
100.00000	2.00000	20000.00000	0.00022	0.00005	0.00005	1.01000	1.00000	0.30000	0.02000	0.50000	0.90000	2000.00000	0.14400	0.02018
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.10000	0.10000	2000.00000	0.37450	0.02781
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.10000	0.50000	2000.00000	0.35750	0.02754
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.10000	0.90000	2000.00000	0.35650	0.02752
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.50000	0.10000	2000.00000	0.37300	0.02779
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.50000	0.50000	2000.00000	0.37200	0.02778
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.50000	0.90000	2000.00000	0.36800	0.02771
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.90000	0.10000	2000.00000	0.36150	0.02761
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.90000	0.50000	2000.00000	0.40450	0.02820
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.30000	0.02000	0.90000	0.90000	2000.00000	0.37250	0.02778
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.10000	0.10000	2000.00000	0.29000	0.02608
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.10000	0.50000	2000.00000	0.31200	0.02663
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.10000	0.90000	2000.00000	0.30950	0.02657
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.50000	0.10000	2000.00000	0.31800	0.02676
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.50000	0.50000	2000.00000	0.29600	0.02623
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.50000	0.90000	2000.00000	0.32600	0.02694
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.90000	0.10000	2000.00000	0.31900	0.02678
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.90000	0.50000	2000.00000	0.33550	0.02713
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00050	1.01000	0.10000	0.90000	0.02000	0.90000	0.90000	2000.00000	0.31700	0.02674
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.10000	0.10000	2000.00000	0.18100	0.02213
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.10000	0.50000	2000.00000	0.17950	0.02205
100.00000	2.00000	20000.00000	0.00010	0.00005	0.00010	1.01000	0.50000	0.30000	0.02000	0.10000	0.90000	2000.00000	0.18300	0.02222
